ID;Average User Rating;User Rating Count;Price;In-app Purchases;Developer;Age Rating;Languages;Size;Genero_1;Genero_2;Genero_3;Original Release Date;Current Version Release Date
1243873426;;;0;1.99;QIUJIANG ZHAO;4+;EN, ZH;45987840; Simulation; Strategy; Entertainment;08/06/2017;14/06/2017
1244000728;;;1.99;;Bonifacio Melero;4+;EN, ES;52451328; Simulation; Entertainment; Strategy;06/06/2017;07/06/2017
1244001166;;;0;;Bonifacio Melero;4+;EN, ES;56735744; Entertainment; Strategy; Simulation;06/06/2017;07/06/2017
1244009359;5;16;0.99;;Grigoriy Kuptsov;4+;EN, FR, DE, IT, JA, KO, PT, ZH, ES, ZH;76055552; Entertainment; Puzzle; Strategy;20/06/2017;15/02/2018
1244048058;4.5;17;0;;Yizhou Liu;9+;EN;162649088; Casual; Entertainment; Strategy;05/06/2017;02/05/2019
1244217037;4.5;9;3.99;4.99, 0.99, 4.99, 0.99, 9.99, 0.99, 9.99, 2.99, 4.99, 19.99;Blimps LLC;4+;EN;38537216; Strategy; Entertainment; Simulation;21/07/2017;21/07/2017
1244218726;;;0;4.99, 9.99;Opposite Lock Entertainment;12+;EN;645950464; Action; Entertainment; Strategy;22/02/2018;02/10/2018
1244248331;;;0;;Nam Vo Hoai;4+;EN;125351936; Casual; Entertainment; Strategy;04/06/2017;19/07/2017
1244300296;;;0;;Akif Muhammad;4+;EN;28878848; Puzzle; Strategy; Entertainment;07/06/2017;07/06/2017
1244305912;;;0;1.99, 2.99, 29.99, 0.99, 9.99, 4.99;Tag 44/24;4+;EN;152822784; Puzzle; Strategy;;31/12/2017;31/12/2017
1244393540;;;0;;Dharmesh Kathiriya;4+;AR, BN, BG, CA, HR, CS, DA, NL, EN, FI, FR, DE, EL, GU, HE, HI, HU, ID, IT, JA, KN, KO, MS, MR, NB, FA, PL, PT, RO, RU, SR, ZH, SK, ES, SV, TL, TA, TH, ZH, TR, UK, UR, VI;18825216; Strategy; Puzzle;;06/06/2017;07/06/2017
1244425171;4.5;282;0.99;;Ian Wall;17+;EN;22059008; Strategy; Puzzle;;27/06/2017;10/04/2018
1244428629;4.5;328;0;;Ian Wall;17+;EN;26003456; Strategy; Puzzle;;29/06/2017;10/04/2018
1244502334;;;0.99;0.99, 3.99;CASM Group, LLC;12+;EN;126646272; Puzzle; Strategy; Entertainment;19/10/2017;31/10/2017
1244505489;;;0;0.99;Geir Ove Kristiansen;4+;EN;15166464; Strategy;;;06/06/2017;29/12/2017
1244551269;;;0;0.99;Ashok Domadiya;4+;EN;33437696; Strategy; Puzzle;;06/06/2017;17/07/2017
1244564757;3.5;21;0;;Filip Rudzinski;12+;EN;449349632; Simulation; Strategy;;08/06/2017;26/06/2017
1244565299;5;15;0;1.99, 4.99, 0.99, 9.99;FGL Indie Showcase;4+;EN, RU;108700672; Strategy; Adventure;;20/07/2017;29/09/2018
1244601916;4.5;2792;0;2.99, 6.99, 4.99, 0.99, 6.99, 0.99, 2.99, 2.99, 2.99, 1.99;111%;4+;EN;94497792; Entertainment; Strategy; Casual;25/06/2017;11/02/2019
1244628041;;;0;;Virtual Robot Studio;4+;EN;2907136; Strategy; Books; Puzzle;10/06/2017;10/06/2017
1244647488;;;0;3.99;harshil shukla;4+;EN;86249472; Strategy;;;07/06/2017;07/06/2017
1244662643;;;0;0.99, 2.99, 1.99, 3.99, 6.99, 11.99, 25.99;Appes developers s.r.o.;4+;EN;22454272; Strategy; Photo & Video; Puzzle;20/07/2017;18/08/2017
1244733204;;;0;1.99, 9.99, 1.99, 4.99, 9.99, 4.99, 2.99, 4.99;Tapps Tecnologia da Informa\xe7\xe3o Ltda.;4+;EN, PT;77063168; Entertainment; Strategy; Simulation;24/07/2017;24/07/2017
1244737016;;;0;9.99, 5.99, 2.99;Tapps Tecnologia da Informa\xe7\xe3o Ltda.;4+;EN, PT;59225088; Simulation; Entertainment; Strategy;20/07/2017;20/07/2017
1244757508;;;0;0.99, 0.99, 1.99, 0.99;jin hao zheng;9+;EN, ZH, ZH;74869760; Entertainment; Strategy; Role Playing;07/12/2017;07/12/2017
1244822324;;;0;;Landon Ferrier;9+;EN;45646848; Action; Strategy;;24/02/2018;24/02/2018
1244891789;4;21;0;;Matthew Bailey;17+;EN;24976384; Strategy; Action; Reference;09/06/2017;03/11/2017
1244942308;4;21;0;1.99, 4.99, 2.99, 9.99, 0.99, 5.99, 54.99, 2.99, 7.99, 20.99;Space Inch, LLC;12+;AR, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI;155187200; Puzzle; Strategy;;05/07/2017;05/07/2017
